#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              5042.9          3.1199e-15                       |         5.94484243e+14      2.64655353e-29                    
              5046.9          3.0797e-15                       |         5.94013075e+14      2.61659862e-29                    
              5050.9          2.9923e-15                       |         5.93542654e+14      2.54637270e-29                    
                5055          2.9284e-15                       |         5.93061244e+14      2.49604272e-29                    
                5059          2.8752e-15                       |         5.92592329e+14      2.45457730e-29                    
                5063          2.8416e-15                       |         5.92124154e+14      2.42973044e-29                    
                5067          2.7976e-15                       |         5.91656718e+14      2.39588916e-29                    
              5071.1          2.7456e-15                       |         5.91178362e+14      2.35516268e-29                    
              5075.1          2.7178e-15                       |         5.90712417e+14      2.33499523e-29                    
              5079.1          2.7199e-15                       |         5.90247207e+14      2.34048445e-29                    
              5083.1          2.6798e-15                       |         5.89782729e+14      2.30961178e-29                    
              5087.2          2.6301e-15                       |         5.89307397e+14      2.27043556e-29                    
              5091.2          2.6398e-15                       |         5.88844396e+14      2.28239410e-29                    
              5095.2          2.6199e-15                       |         5.88382122e+14      2.26874916e-29                    
              5099.2          2.5688e-15                       |         5.87920574e+14      2.22799227e-29                    
              5103.2           2.578e-15                       |         5.87459749e+14      2.23948102e-29                    
              5107.3          2.5415e-15                       |         5.86988152e+14      2.21132282e-29                    
              5111.3          2.5337e-15                       |         5.86528787e+14      2.20799065e-29                    
              5115.3          2.5065e-15                       |         5.86070141e+14      2.18770733e-29                    
              5119.3          2.4865e-15                       |         5.85612211e+14      2.17364652e-29                    
              5123.4          2.4789e-15                       |         5.85143575e+14      2.17047522e-29                    
              5127.4          2.4609e-15                       |         5.84687091e+14      2.15808060e-29                    
              5131.4          2.4536e-15                       |         5.84231319e+14      2.15503733e-29                    
              5135.4          2.4296e-15                       |         5.83776257e+14      2.13728594e-29                    
              5139.5          2.4279e-15                       |         5.83310554e+14      2.13920218e-29                    
              5143.5          2.4447e-15                       |         5.82856924e+14      2.15735868e-29                    
              5147.5          2.4373e-15                       |         5.82404000e+14      2.15417507e-29                    
              5151.5          2.4395e-15                       |         5.81951779e+14      2.15947175e-29                    
              5155.6          2.4458e-15                       |         5.81488981e+14      2.16849620e-29                    
              5159.6          2.4619e-15                       |         5.81038179e+14      2.18615914e-29                    
              5163.6          2.4425e-15                       |         5.80588076e+14      2.17229625e-29                    
              5167.6          2.4482e-15                       |         5.80138670e+14      2.18074040e-29                    
              5171.7           2.468e-15                       |         5.79678750e+14      2.20186709e-29                    
              5175.7          2.4597e-15                       |         5.79230749e+14      2.19785799e-29                    
              5179.7            2.47e-15                       |         5.78783441e+14      2.21047426e-29                    
              5183.7          2.4754e-15                       |         5.78336823e+14      2.21872972e-29                    
              5187.7          2.4951e-15                       |         5.77890894e+14      2.23983981e-29                    
              5191.8          2.5206e-15                       |         5.77434529e+14      2.26630906e-29                    
